index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
1,"[50, 55[",Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,13,United-States,<=50K
7,"[50, 55[",Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,45,United-States,>50K
8,"[30, 35[",Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,*,Female,14084,0,50,United-States,>50K
9,"[40, 45[",Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,*,Male,5178,0,40,United-States,>50K
10,"[35, 40[",Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,*,Male,0,0,80,United-States,>50K
12,"[20, 25[",Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,*,Female,0,0,30,United-States,<=50K
16,"[25, 30[",Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,*,Male,0,0,35,United-States,<=50K
17,"[30, 35[",Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,*,Male,0,0,40,United-States,<=50K
19,"[40, 45[",Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,*,Female,0,0,45,United-States,>50K
20,"[40, 45[",Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,60,United-States,>50K
26,"[15, 20[",Private,168294,HS-grad,9,Never-married,Craft-repair,Own-child,*,Male,0,0,40,United-States,<=50K
28,"[35, 40[",Private,367260,HS-grad,9,Divorced,Exec-managerial,Not-in-family,*,Male,0,0,80,United-States,<=50K
29,"[45, 50[",Private,193366,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,40,United-States,<=50K
31,"[20, 25[",Private,266015,Some-college,10,Never-married,Sales,Own-child,*,Male,0,0,44,United-States,<=50K
32,"[45, 50[",Private,386940,Bachelors,13,Divorced,Exec-managerial,Own-child,*,Male,0,1408,40,United-States,<=50K
33,"[30, 35[",Federal-gov,59951,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,*,Male,0,0,40,United-States,<=50K
34,"[20, 25[",State-gov,311512,Some-college,10,Married-civ-spouse,Other-service,Husband,*,Male,0,0,15,United-States,<=50K
36,"[20, 25[",Private,197200,Some-college,10,Never-married,Machine-op-inspct,Own-child,*,Male,0,0,40,United-States,<=50K
41,"[50, 55[",Self-emp-not-inc,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,40,United-States,<=50K
43,"[45, 50[",Private,94638,HS-grad,9,Separated,Adm-clerical,Unmarried,*,Female,0,0,40,United-States,<=50K
44,"[25, 30[",Private,289980,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,*,Male,0,0,35,United-States,<=50K
45,"[55, 60[",Federal-gov,337895,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,*,Male,0,0,40,United-States,>50K
46,"[50, 55[",Private,144361,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,*,Male,0,0,38,United-States,<=50K
47,"[40, 45[",Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,*,Female,0,0,40,United-States,<=50K
48,"[40, 45[",State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,*,Male,0,0,40,United-States,<=50K
