,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,1,"[40, 80[",Self-emp-not-inc,83311,Higher education,13,Spouse present,*,Husband,*,Male,0,0,13,United-States,<=50K
1,7,"[40, 80[",Self-emp-not-inc,209642,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,45,United-States,>50K
2,8,"[0, 40[",Private,45781,Higher education,14,Spouse not present,*,Not-in-family,*,Female,14084,0,50,United-States,>50K
3,9,"[40, 80[",Private,159449,Higher education,13,Spouse present,*,Husband,*,Male,5178,0,40,United-States,>50K
4,10,"[0, 40[",Private,280464,Higher education,10,Spouse present,*,Husband,*,Male,0,0,80,United-States,>50K
5,12,"[0, 40[",Private,122272,Higher education,13,Spouse not present,*,Own-child,*,Female,0,0,30,United-States,<=50K
6,16,"[0, 40[",Self-emp-not-inc,176756,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,35,United-States,<=50K
7,17,"[0, 40[",Private,186824,Secondary education,9,Spouse not present,*,Unmarried,*,Male,0,0,40,United-States,<=50K
8,19,"[40, 80[",Self-emp-not-inc,292175,Higher education,14,Spouse not present,*,Unmarried,*,Female,0,0,45,United-States,>50K
9,20,"[40, 80[",Private,193524,Higher education,16,Spouse present,*,Husband,*,Male,0,0,60,United-States,>50K
10,26,"[0, 40[",Private,168294,Secondary education,9,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
11,28,"[0, 40[",Private,367260,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,80,United-States,<=50K
12,29,"[40, 80[",Private,193366,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
13,31,"[0, 40[",Private,266015,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,44,United-States,<=50K
14,32,"[40, 80[",Private,386940,Higher education,13,Spouse not present,*,Own-child,*,Male,0,1408,40,United-States,<=50K
15,33,"[0, 40[",Federal-gov,59951,Higher education,10,Spouse present,*,Own-child,*,Male,0,0,40,United-States,<=50K
16,34,"[0, 40[",State-gov,311512,Higher education,10,Spouse present,*,Husband,*,Male,0,0,15,United-States,<=50K
17,36,"[0, 40[",Private,197200,Higher education,10,Spouse not present,*,Own-child,*,Male,0,0,40,United-States,<=50K
18,41,"[40, 80[",Self-emp-not-inc,88506,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
19,43,"[40, 80[",Private,94638,Secondary education,9,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
20,44,"[0, 40[",Private,289980,Secondary education,9,Spouse not present,*,Not-in-family,*,Male,0,0,35,United-States,<=50K
21,45,"[40, 80[",Federal-gov,337895,Higher education,13,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
22,46,"[40, 80[",Private,144361,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,38,United-States,<=50K
23,47,"[40, 80[",Private,128354,Higher education,14,Spouse not present,*,Unmarried,*,Female,0,0,40,United-States,<=50K
24,48,"[40, 80[",State-gov,101603,Higher education,11,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
25,53,"[40, 80[",Federal-gov,251585,Higher education,13,Spouse not present,*,Not-in-family,*,Male,0,0,55,United-States,>50K
26,55,"[40, 80[",Private,237993,Higher education,10,Spouse present,*,Husband,*,Male,0,0,40,United-States,>50K
27,58,"[40, 80[",Private,147372,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,48,United-States,<=50K
28,59,"[0, 40[",Private,188146,Secondary education,9,Spouse present,*,Husband,*,Male,5013,0,40,United-States,<=50K
29,60,"[0, 40[",Private,59496,Higher education,13,Spouse present,*,Husband,*,Male,2407,0,40,United-States,<=50K
30,62,"[40, 80[",Private,149640,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
31,63,"[40, 80[",Private,116632,Higher education,16,Spouse present,*,Husband,*,Male,0,0,45,United-States,>50K
32,65,"[0, 40[",Private,155537,Secondary education,9,Spouse present,*,Husband,*,Male,0,0,40,United-States,<=50K
33,66,"[0, 40[",Private,183175,Higher education,10,Spouse not present,*,Not-in-family,*,Female,0,0,40,United-States,<=50K
34,67,"[40, 80[",Private,169846,Secondary education,9,Spouse present,*,Wife,*,Female,0,0,40,United-States,>50K
35,68,"[40, 80[",Self-emp-inc,191681,Higher education,10,Spouse present,*,Husband,*,Male,0,0,50,United-States,>50K
36,72,"[0, 40[",Self-emp-not-inc,162298,Higher education,13,Spouse present,*,Husband,*,Male,0,0,70,United-States,>50K
37,73,"[0, 40[",Private,211678,Higher education,10,Spouse not present,*,Not-in-family,*,Male,0,0,40,United-States,<=50K
