,index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
0,0,*,*,77516,*,*,Spouse not present,*,Not-in-family,*,Male,2174,0,40,*,<=50K
1,1,*,*,83311,*,*,Spouse present,*,Husband,*,Male,0,0,13,*,<=50K
2,2,*,*,215646,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
3,3,*,*,234721,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
4,5,*,*,284582,*,*,Spouse present,*,Wife,*,Female,0,0,40,*,<=50K
5,6,*,*,160187,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,16,*,<=50K
6,7,*,*,209642,*,*,Spouse present,*,Husband,*,Male,0,0,45,*,>50K
7,8,*,*,45781,*,*,Spouse not present,*,Not-in-family,*,Female,14084,0,50,*,>50K
8,9,*,*,159449,*,*,Spouse present,*,Husband,*,Male,5178,0,40,*,>50K
9,10,*,*,280464,*,*,Spouse present,*,Husband,*,Male,0,0,80,*,>50K
10,11,*,*,141297,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
11,12,*,*,122272,*,*,Spouse not present,*,Own-child,*,Female,0,0,30,*,<=50K
12,13,*,*,205019,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,50,*,<=50K
13,14,*,*,121772,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
14,15,*,*,245487,*,*,Spouse present,*,Husband,*,Male,0,0,45,*,<=50K
15,16,*,*,176756,*,*,Spouse not present,*,Own-child,*,Male,0,0,35,*,<=50K
16,17,*,*,186824,*,*,Spouse not present,*,Unmarried,*,Male,0,0,40,*,<=50K
17,18,*,*,28887,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
18,19,*,*,292175,*,*,Spouse not present,*,Unmarried,*,Female,0,0,45,*,>50K
19,20,*,*,193524,*,*,Spouse present,*,Husband,*,Male,0,0,60,*,>50K
20,21,*,*,302146,*,*,Spouse not present,*,Unmarried,*,Female,0,0,20,*,<=50K
21,22,*,*,76845,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
22,23,*,*,117037,*,*,Spouse present,*,Husband,*,Male,0,2042,40,*,<=50K
23,24,*,*,109015,*,*,Spouse not present,*,Unmarried,*,Female,0,0,40,*,<=50K
24,25,*,*,216851,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
25,26,*,*,168294,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
26,28,*,*,367260,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,80,*,<=50K
27,29,*,*,193366,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
28,30,*,*,190709,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,52,*,<=50K
29,31,*,*,266015,*,*,Spouse not present,*,Own-child,*,Male,0,0,44,*,<=50K
30,32,*,*,386940,*,*,Spouse not present,*,Own-child,*,Male,0,1408,40,*,<=50K
31,33,*,*,59951,*,*,Spouse present,*,Own-child,*,Male,0,0,40,*,<=50K
32,34,*,*,311512,*,*,Spouse present,*,Husband,*,Male,0,0,15,*,<=50K
33,35,*,*,242406,*,*,Spouse not present,*,Unmarried,*,Male,0,0,40,*,<=50K
34,36,*,*,197200,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
35,37,*,*,544091,*,*,Spouse present,*,Wife,*,Female,0,0,25,*,<=50K
36,38,*,*,84154,*,*,Spouse present,*,Husband,*,Male,0,0,38,*,>50K
37,39,*,*,265477,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
38,40,*,*,507875,*,*,Spouse present,*,Husband,*,Male,0,0,43,*,<=50K
39,41,*,*,88506,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
40,42,*,*,172987,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
41,43,*,*,94638,*,*,Spouse not present,*,Unmarried,*,Female,0,0,40,*,<=50K
42,44,*,*,289980,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,35,*,<=50K
43,45,*,*,337895,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
44,46,*,*,144361,*,*,Spouse present,*,Husband,*,Male,0,0,38,*,<=50K
45,47,*,*,128354,*,*,Spouse not present,*,Unmarried,*,Female,0,0,40,*,<=50K
46,48,*,*,101603,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
47,49,*,*,271466,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,43,*,<=50K
48,51,*,*,226956,*,*,Spouse not present,*,Own-child,*,Female,0,0,30,*,<=50K
49,52,*,*,51835,*,*,Spouse present,*,Wife,*,Female,0,1902,60,*,>50K
50,53,*,*,251585,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,55,*,>50K
51,54,*,*,109832,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,60,*,<=50K
52,55,*,*,237993,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
53,56,*,*,216666,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
54,57,*,*,56352,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
55,58,*,*,147372,*,*,Spouse present,*,Husband,*,Male,0,0,48,*,<=50K
56,59,*,*,188146,*,*,Spouse present,*,Husband,*,Male,5013,0,40,*,<=50K
57,60,*,*,59496,*,*,Spouse present,*,Husband,*,Male,2407,0,40,*,<=50K
58,61,*,*,293936,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
59,62,*,*,149640,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
60,63,*,*,116632,*,*,Spouse present,*,Husband,*,Male,0,0,45,*,>50K
61,64,*,*,105598,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,58,*,<=50K
62,65,*,*,155537,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
63,66,*,*,183175,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,40,*,<=50K
64,67,*,*,169846,*,*,Spouse present,*,Wife,*,Female,0,0,40,*,>50K
65,68,*,*,191681,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,>50K
66,69,*,*,200681,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
67,70,*,*,101509,*,*,Spouse not present,*,Own-child,*,Male,0,0,32,*,<=50K
68,71,*,*,309974,*,*,Spouse not present,*,Own-child,*,Female,0,0,40,*,<=50K
69,72,*,*,162298,*,*,Spouse present,*,Husband,*,Male,0,0,70,*,>50K
70,73,*,*,211678,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
71,74,*,*,124744,*,*,Spouse present,*,Other-relative,*,Male,0,0,20,*,<=50K
72,75,*,*,213921,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
73,76,*,*,32214,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
74,77,*,*,212759,*,*,Spouse present,*,Husband,*,Male,0,0,2,*,<=50K
75,78,*,*,309634,*,*,Spouse not present,*,Own-child,*,Female,0,0,22,*,<=50K
76,79,*,*,125927,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
77,80,*,*,446839,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,30,*,<=50K
78,81,*,*,276515,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
79,82,*,*,51618,*,*,Spouse present,*,Wife,*,Female,0,0,40,*,<=50K
80,83,*,*,159937,*,*,Spouse present,*,Husband,*,Male,0,0,48,*,<=50K
81,84,*,*,343591,*,*,Spouse not present,*,Not-in-family,*,Female,14344,0,40,*,>50K
82,85,*,*,346253,*,*,Spouse not present,*,Own-child,*,Female,0,0,35,*,<=50K
83,86,*,*,268234,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
84,87,*,*,202051,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
85,88,*,*,54334,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
86,89,*,*,410867,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,50,*,>50K
87,90,*,*,249977,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
88,91,*,*,286730,*,*,Spouse not present,*,Unmarried,*,Female,0,0,40,*,<=50K
89,92,*,*,212563,*,*,Spouse not present,*,Unmarried,*,Female,0,0,25,*,<=50K
90,93,*,*,117747,*,*,Spouse present,*,Wife,*,Female,0,1573,35,*,<=50K
91,94,*,*,226296,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
92,95,*,*,115585,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,50,*,<=50K
93,96,*,*,191277,*,*,Spouse present,*,Husband,*,Male,0,1902,60,*,>50K
94,97,*,*,202683,*,*,Spouse present,*,Husband,*,Male,0,0,48,*,>50K
95,98,*,*,171095,*,*,Spouse not present,*,Unmarried,*,Female,0,0,40,*,<=50K
96,99,*,*,249409,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
97,100,*,*,124191,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
98,101,*,*,198282,*,*,Spouse present,*,Husband,*,Male,15024,0,60,*,>50K
99,102,*,*,149116,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,50,*,<=50K
100,103,*,*,188300,*,*,Spouse not present,*,Own-child,*,Female,0,0,40,*,<=50K
101,104,*,*,103432,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
102,105,*,*,317660,*,*,Spouse present,*,Husband,*,Male,7688,0,40,*,>50K
103,106,*,*,304873,*,*,Spouse not present,*,Own-child,*,Female,34095,0,32,*,<=50K
104,107,*,*,194901,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
105,108,*,*,189265,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,40,*,<=50K
106,109,*,*,124692,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
107,110,*,*,432376,*,*,Spouse not present,*,Other-relative,*,Male,0,0,40,*,<=50K
108,111,*,*,65324,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
109,112,*,*,335605,*,*,Spouse present,*,Husband,*,Male,0,1887,50,*,>50K
110,113,*,*,377869,*,*,Spouse present,*,Wife,*,Female,4064,0,25,*,<=50K
111,114,*,*,102864,*,*,Spouse not present,*,Own-child,*,Female,0,0,40,*,<=50K
112,115,*,*,95647,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
113,116,*,*,303090,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
114,117,*,*,197371,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
115,118,*,*,247552,*,*,Spouse present,*,Husband,*,Male,0,0,56,*,<=50K
116,119,*,*,102632,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,41,*,<=50K
117,120,*,*,199915,*,*,Spouse not present,*,Own-child,*,Female,0,0,40,*,<=50K
118,121,*,*,118853,*,*,Spouse present,*,Husband,*,Male,0,0,60,*,<=50K
119,122,*,*,77143,*,*,Spouse not present,*,Own-child,*,Male,0,0,40,*,<=50K
120,123,*,*,267989,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,>50K
121,124,*,*,301606,*,*,Spouse not present,*,Own-child,*,Male,0,0,35,*,<=50K
122,125,*,*,287828,*,*,Spouse present,*,Wife,*,Female,0,0,40,*,>50K
123,126,*,*,111697,*,*,Spouse not present,*,Own-child,*,Female,0,1719,28,*,<=50K
124,127,*,*,114937,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
125,128,*,*,129305,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
126,129,*,*,365739,*,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,*,<=50K
127,130,*,*,69621,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,60,*,<=50K
128,131,*,*,43323,*,*,Spouse not present,*,Not-in-family,*,Female,0,1762,40,*,<=50K
129,132,*,*,120985,*,*,Spouse present,*,Husband,*,Male,4386,0,35,*,<=50K
130,133,*,*,254202,*,*,Spouse present,*,Husband,*,Male,0,0,50,*,<=50K
131,134,*,*,146195,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,36,*,<=50K
132,135,*,*,125933,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
133,136,*,*,56920,*,*,Spouse present,*,Husband,*,Male,0,0,60,*,<=50K
134,137,*,*,163127,*,*,Spouse present,*,Wife,*,Female,0,0,35,*,<=50K
135,138,*,*,34310,*,*,Spouse not present,*,Own-child,*,Male,0,0,20,*,<=50K
136,139,*,*,81973,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,>50K
137,140,*,*,66614,*,*,Spouse present,*,Husband,*,Male,0,0,40,*,<=50K
138,141,*,*,232782,*,*,Spouse not present,*,Own-child,*,Female,0,0,40,*,<=50K
139,142,*,*,316868,*,*,Spouse not present,*,Own-child,*,Male,0,0,30,*,<=50K
140,143,*,*,196584,*,*,Spouse not present,*,Not-in-family,*,Female,0,1564,40,*,>50K
141,144,*,*,105376,*,*,Spouse not present,*,Other-relative,*,Male,0,0,40,*,<=50K
142,145,*,*,185814,*,*,Spouse not present,*,Unmarried,*,Female,0,0,30,*,<=50K
143,146,*,*,175374,*,*,Spouse present,*,Husband,*,Male,0,0,24,*,<=50K
144,147,*,*,108293,*,*,Spouse not present,*,Unmarried,*,Female,0,0,24,*,<=50K
145,148,*,*,181232,*,*,Spouse present,*,Husband,*,Male,0,2179,40,*,<=50K
146,149,*,*,174662,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,40,*,<=50K
147,150,*,*,186009,*,*,Spouse not present,*,Unmarried,*,Female,0,0,38,*,<=50K
148,151,*,*,198183,*,*,Spouse not present,*,Not-in-family,*,Female,0,0,40,*,<=50K
149,152,*,*,163003,*,*,Spouse not present,*,Other-relative,*,Female,0,0,40,*,<=50K
150,153,*,*,296158,*,*,Spouse not present,*,Own-child,*,Male,0,0,35,*,<=50K
